,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
0,2020,9,18,5.87,3.13,19.25,10.63,4.32,28.1,0.49,2.06,0.88,4.81,347.7,90.43,16.68,4.39,26.41,23.37,6.74,33.99,0.0,0.16
1,2020,9,10,1.38,1.81,28.12,11.24,0.98,18.91,0.0,0.46,0.93,0.98,388.71,89.95,10.4,3.78,16.05,14.44,2.3,25.67,0.0,0.15
2,2020,9,7,3.09,4.4,22.81,17.17,2.47,32.38,1.65,2.57,3.45,4.12,351.7,96.57,17.47,6.16,29.01,23.73,6.55,40.91,0.0,0.16
3,2020,8,21,3.05,5.91,89.62,4.05,2.06,16.52,3.51,4.33,4.73,5.57,349.7,100.03,21.26,10.25,14.83,14.86,7.78,18.91,0.01,0.17
4,2020,9,21,3.32,1.95,30.0,7.81,0.95,15.08,0.2,0.63,0.3,1.15,300.93,79.31,6.3,3.54,10.08,12.05,3.62,19.87,0.0,0.16
5,2020,8,20,2.27,4.74,35.06,16.91,1.68,24.9,2.58,3.33,3.88,4.25,345.23,98.09,16.5,6.04,26.32,17.68,6.14,34.58,0.0,0.16
6,2020,9,7,2.77,2.7,29.56,12.59,0.81,21.32,0.19,0.59,1.48,1.0,377.09,79.4,10.5,4.82,19.18,15.01,4.24,27.6,0.0,0.2
7,2020,9,3,1.97,1.64,24.75,15.3,1.38,28.6,0.33,0.92,0.38,1.71,376.19,96.75,17.24,5.49,27.17,21.96,2.35,37.26,0.0,0.14
8,2020,8,20,2.79,3.16,65.75,12.34,1.09,18.92,0.8,1.25,2.09,1.9,343.95,98.71,16.17,8.61,19.08,13.98,4.87,26.32,0.01,0.14
9,2020,9,12,1.82,2.64,19.06,13.95,1.3,24.4,0.61,1.36,1.21,1.91,304.66,89.23,7.71,3.36,22.27,17.58,3.03,31.52,0.0,0.16
10,2020,8,23,4.2,2.84,23.25,13.2,3.15,23.42,0.51,1.85,0.62,3.66,342.72,82.76,14.41,4.21,22.34,17.06,4.82,30.26,0.0,0.12
11,2020,9,16,1.47,1.31,52.25,12.37,0.8,19.89,0.0,0.29,0.3,0.8,334.79,92.13,11.82,6.9,17.3,15.04,1.78,27.4,0.0,0.1
12,2020,9,9,2.65,2.48,13.19,8.02,1.0,21.76,0.48,0.88,0.98,1.48,345.8,89.72,8.28,2.26,20.06,17.78,3.64,25.8,0.0,0.17
13,2020,8,24,3.96,2.49,35.62,13.33,2.6,21.83,0.52,1.67,0.77,3.12,366.52,82.71,20.1,6.53,22.51,14.42,4.73,27.75,0.93,0.11
14,2020,9,7,2.2,1.91,21.88,15.38,1.13,28.98,0.08,0.55,0.54,1.21,320.3,94.03,14.21,4.82,24.93,21.51,2.73,36.9,0.0,0.1
15,2020,9,8,334.04,21.15,89.44,13.7,2.69,0.01,15.5,2.41,16.44,0.36,0.37,2.77,1.38,29.2,3.79,0.05,20.51,6.65,0.0,0.12
16,2020,9,5,2.08,2.69,17.56,12.82,1.45,32.19,0.81,1.48,1.66,2.26,331.66,89.59,17.05,5.0,29.62,25.72,3.73,38.54,0.0,0.19
17,2020,9,12,1.35,1.02,26.88,13.34,0.81,20.98,0.0,0.38,0.38,0.81,340.8,90.08,8.84,3.91,17.06,15.23,1.73,28.58,0.0,0.13
18,2020,9,8,3.34,2.45,46.62,12.82,2.04,22.48,0.24,1.52,0.34,2.28,358.8,96.17,13.6,7.81,21.83,17.3,3.68,30.12,0.0,0.16
19,2020,9,9,4.25,2.98,10.5,13.44,0.56,19.54,0.02,0.15,0.86,0.59,383.92,86.46,6.14,1.53,18.65,14.29,5.11,27.73,0.0,0.13
20,2020,9,9,1.62,1.87,10.19,17.11,1.08,20.78,0.0,0.25,0.81,1.08,325.32,87.75,6.31,1.46,18.81,12.49,2.44,29.6,0.0,0.09
21,2020,9,17,2.97,2.14,23.19,10.91,1.67,23.76,0.28,1.12,0.34,1.95,326.7,89.42,13.62,4.03,20.66,19.37,3.3,30.28,0.0,0.19
22,2020,8,24,2.52,1.79,32.62,10.89,1.16,21.93,0.01,0.84,0.08,1.17,381.01,83.86,18.67,5.92,20.65,17.06,2.59,27.95,0.41,0.12
23,2020,8,20,2.98,6.01,93.5,2.2,2.59,15.51,3.9,4.91,4.93,6.49,343.95,100.69,16.8,10.13,15.14,14.39,7.91,16.59,0.03,0.14
24,2020,9,8,3.34,2.45,46.62,12.82,2.04,22.48,0.24,1.52,0.34,2.28,358.8,96.17,13.6,7.81,21.83,17.3,3.68,30.12,0.0,0.16
25,2020,9,7,1.76,1.89,18.69,15.83,0.84,27.4,0.0,0.34,1.05,0.84,320.3,87.99,12.17,4.09,24.52,19.32,2.8,35.15,0.0,0.1
26,2020,7,19,4.46,3.86,39.5,17.62,3.33,24.03,1.11,2.78,1.42,4.44,353.12,96.59,17.0,6.9,27.44,15.62,5.88,33.24,0.0,0.17
27,2020,9,7,401.7,29.11,89.77,13.34,4.58,0.0,23.19,1.73,19.06,0.87,0.87,1.74,0.97,36.53,2.69,0.3,26.12,13.52,0.0,0.13
28,2020,8,2,345.09,26.57,90.52,15.19,5.25,0.62,18.81,4.75,25.12,3.91,4.54,3.34,1.52,34.0,6.27,2.17,27.44,9.79,0.0,0.18
29,2020,8,20,2.73,4.29,34.62,17.99,2.13,24.44,1.97,3.01,3.11,4.1,345.23,97.24,18.09,5.86,25.73,16.59,5.84,34.58,0.0,0.16
