,NDVI,EVI,SolarZenith,longitude,latitude,date
0,4176.0,2818.0,2254.0,-121.30305555,36.76694444,2010-05-19
1,4039.0,2445.0,1901.0,-121.31111111,36.77694444,2010-06-08
2,4155.0,2172.0,1911.0,-121.38111111,36.85611111,2010-06-12
3,3013.0,2043.0,2329.0,-121.39111111,36.81805555,2010-06-14
4,2398.0,1657.0,2452.0,-121.56194444,36.88305555,2010-07-11
5,4315.0,2737.0,2966.0,-121.38805555,36.93611111,2010-07-29
6,4200.0,2259.0,3914.0,-121.50305555,36.75805555,2010-09-11
7,4640.0,2781.0,3879.0,-121.39111111,36.81805555,2010-03-16
8,5421.0,3727.0,2787.0,-121.56194444,36.88305555,2010-05-01
9,3522.0,2319.0,1960.0,-121.17888888,36.26194444,2010-07-03
10,2511.0,1197.0,2922.0,-121.42694444,36.89611111,2010-08-14
11,3066.0,1735.0,3385.0,-121.38194444,36.82694444,2010-08-31
12,6142.0,3337.0,5775.0,-121.93111111,36.60888888,2010-10-27
13,3272.0,2088.0,5440.0,-119.53388888,36.61194444,2010-01-29
14,3041.0,1908.0,5063.0,-120.38194444,36.76111111,2010-02-11
15,4239.0,3121.0,4210.0,-119.82694444,36.48888888,2010-03-04
16,2698.0,2053.0,3691.0,-119.795,36.555,2010-03-20
17,5280.0,3845.0,3878.0,-120.20888888,36.35611111,2010-03-27
18,6427.0,4900.0,3936.0,-120.56305555,36.85111111,2010-03-27
19,5670.0,3354.0,3289.0,-120.60888888,36.97194444,2010-04-02
20,3413.0,2289.0,2685.0,-119.66388888,36.70805555,2010-04-16
21,3946.0,2769.0,2530.0,-119.62611111,36.82305555,2010-05-16
22,3302.0,2370.0,2238.0,-120.15611111,36.13805555,2010-05-16
23,7381.0,6527.0,2212.0,-120.56305555,36.85111111,2010-05-18
24,3595.0,2006.0,2050.0,-120.37388888,36.79,2010-05-19
25,3388.0,2217.0,2154.0,-119.62611111,36.85194444,2010-05-19
26,2658.0,1990.0,2152.0,-119.78611111,36.67805555,2010-05-19
27,2421.0,1785.0,2139.0,-120.09888888,36.20388888,2010-05-20
28,3127.0,2010.0,1994.0,-119.71694444,36.56194444,2010-05-20
29,4226.0,3171.0,2004.0,-119.755,36.66305555,2010-05-21
30,3478.0,2222.0,1938.0,-119.625,36.81305555,2010-06-26
31,3497.0,2226.0,2128.0,-119.37611111,36.705,2010-06-01
32,4274.0,3077.0,1991.0,-119.64694444,36.57611111,2010-06-01
33,7793.0,5383.0,1994.0,-119.95305555,36.56805555,2010-06-02
34,3004.0,2032.0,1882.0,-119.58305555,36.72388888,2010-06-03
35,3050.0,2288.0,1933.0,-120.38888888,36.75694444,2010-06-04
36,5340.0,3819.0,1936.0,-120.53694444,36.67194444,2010-06-04
37,3301.0,2159.0,1994.0,-119.57388888,36.82388888,2010-06-04
38,5187.0,4061.0,2058.0,-120.56305555,36.85111111,2010-06-04
39,2966.0,1961.0,1880.0,-119.57,36.725,2010-06-05
40,6211.0,4939.0,1991.0,-119.59194444,36.75,2010-06-05
41,4290.0,3064.0,1876.0,-119.64694444,36.57611111,2010-06-06
42,2056.0,1327.0,2113.0,-119.76,36.71305555,2010-04-18
43,5004.0,3005.0,2627.0,-119.78611111,36.67805555,2010-04-18
44,5243.0,3514.0,2690.0,-119.72694444,36.72,2010-04-29
45,5004.0,3005.0,2627.0,-119.78611111,36.67805555,2010-05-01
46,3493.0,2542.0,2162.0,-119.55611111,36.68805555,2010-05-02
47,4515.0,3078.0,2452.0,-120.62805555,36.95305555,2010-05-03
48,2865.0,2093.0,2154.0,-119.59611111,36.54694444,2010-05-05
49,2609.0,2031.0,2169.0,-119.73694444,36.67,2010-05-07
50,3538.0,2423.0,2173.0,-119.72694444,36.72194444,2010-05-08
51,2273.0,1572.0,2286.0,-120.48611111,36.53111111,2010-05-11
52,3132.0,2379.0,2424.0,-120.38611111,36.75611111,2010-05-12
53,5365.0,3852.0,1987.0,-119.51111111,36.63388888,2010-05-25
54,5944.0,4789.0,1998.0,-119.69388888,36.63388888,2010-05-25
55,3316.0,2400.0,2152.0,-119.73305555,36.71888888,2010-05-27
56,3094.0,2103.0,1989.0,-119.79805555,36.41805555,2010-05-27
57,4283.0,2960.0,1989.0,-119.79805555,36.41611111,2010-05-28
58,2721.0,1639.0,2149.0,-119.55611111,36.83694444,2010-05-30
59,1803.0,1258.0,2017.0,-120.30305555,36.35611111,2010-05-30
60,2421.0,1785.0,2139.0,-120.09888888,36.20388888,2010-05-31
61,3280.0,2148.0,2151.0,-119.72694444,36.71888888,2010-05-31
62,4071.0,2775.0,2146.0,-119.58694444,36.765,2010-05-31
63,3104.0,2187.0,2319.0,-119.635,36.57611111,2010-06-01
64,2806.0,1895.0,1974.0,-119.38111111,36.72,2010-06-06
65,1938.0,1176.0,1962.0,-120.77194444,36.85,2010-06-07
66,5270.0,3426.0,1939.0,-120.61388888,36.64305555,2010-06-08
67,3083.0,1888.0,1890.0,-119.72694444,36.72,2010-06-08
68,5757.0,3837.0,1897.0,-119.87194444,36.69888888,2010-06-09
69,4721.0,3880.0,1902.0,-120.06111111,36.60388888,2010-06-09
70,5540.0,4336.0,2025.0,-120.38888888,36.50111111,2010-06-10
71,4083.0,2745.0,1881.0,-120.10388888,36.255,2010-06-17
72,4175.0,2994.0,1873.0,-120.05,36.18194444,2010-06-18
73,3256.0,1939.0,1905.0,-119.73388888,36.92111111,2010-06-18
74,5896.0,4462.0,1929.0,-119.92305555,36.43194444,2010-06-19
75,3767.0,2789.0,2128.0,-119.52111111,36.61194444,2010-06-19
76,2240.0,1687.0,2372.0,-119.735,36.67805555,2010-06-20
77,4385.0,3364.0,1939.0,-119.89888888,36.59194444,2010-06-20
78,3548.0,1710.0,2163.0,-119.64888888,37.03805555,2010-06-22
79,4654.0,3802.0,2145.0,-119.73694444,36.65611111,2010-06-22
80,4204.0,2884.0,1885.0,-119.57388888,36.77111111,2010-06-11
81,1851.0,1240.0,1924.0,-120.38805555,36.63305555,2010-06-12
82,4079.0,2653.0,1871.0,-119.53805555,36.60694444,2010-06-12
83,3506.0,2133.0,1956.0,-120.52694444,36.98194444,2010-06-13
84,3657.0,2821.0,1989.0,-119.79111111,36.53,2010-06-14
85,2382.0,1851.0,2042.0,-120.38694444,36.765,2010-06-15
86,5852.0,4299.0,2068.0,-120.58111111,36.98194444,2010-06-15
87,4290.0,3064.0,1876.0,-119.64694444,36.57611111,2010-06-16
88,1847.0,1432.0,2084.0,-119.76388888,36.71694444,2010-06-16
89,3347.0,2202.0,1896.0,-119.94111111,36.43,2010-06-22
90,5416.0,3816.0,1922.0,-119.53805555,36.675,2010-06-23
91,5447.0,3577.0,1918.0,-119.48888888,36.67,2010-06-24
92,3066.0,2081.0,2108.0,-120.10388888,36.255,2010-06-25
93,5926.0,3964.0,2003.0,-120.56388888,36.935,2010-06-25
94,6794.0,4859.0,2090.0,-119.66388888,36.43111111,2010-06-27
95,3138.0,2210.0,2094.0,-119.55694444,36.61194444,2010-06-28
96,3624.0,2698.0,1936.0,-119.79194444,36.65,2010-06-29
97,4722.0,3443.0,2098.0,-119.80111111,36.43111111,2010-06-30
98,4392.0,3357.0,2355.0,-120.38888888,36.50111111,2010-07-05
99,2948.0,2064.0,2093.0,-119.57,36.725,2010-07-06
100,3932.0,2489.0,2091.0,-119.565,36.69194444,2010-07-06
101,5060.0,3438.0,2077.0,-119.46888888,36.59,2010-07-06
102,4230.0,3117.0,2329.0,-119.8,36.66305555,2010-07-06
103,6431.0,4475.0,2089.0,-119.51111111,36.725,2010-07-07
104,4517.0,3040.0,2100.0,-120.08611111,36.21,2010-07-08
105,2331.0,1411.0,2099.0,-119.55611111,36.83694444,2010-07-08
106,4824.0,3402.0,2399.0,-120.62805555,36.95388888,2010-07-09
107,3774.0,2582.0,2081.0,-119.44194444,36.66888888,2010-07-17
108,5689.0,3767.0,2076.0,-119.40388888,36.63305555,2010-07-18
109,4732.0,3133.0,2315.0,-119.47111111,36.73111111,2010-07-19
110,1917.0,1417.0,2550.0,-119.735,36.67805555,2010-07-19
111,4732.0,3133.0,2315.0,-119.47111111,36.73111111,2010-07-19
112,2808.0,1899.0,2620.0,-120.10388888,36.255,2010-07-21
113,2341.0,1725.0,2674.0,-120.38694444,36.765,2010-07-23
114,2973.0,2058.0,2626.0,-119.55611111,36.72194444,2010-07-23
115,3337.0,2324.0,2355.0,-119.78611111,36.54694444,2010-07-24
116,3366.0,2227.0,2612.0,-119.38388888,36.68305555,2010-07-24
117,4997.0,3143.0,2341.0,-119.46694444,36.59,2010-07-25
118,2710.0,1327.0,2365.0,-119.72694444,36.71888888,2010-07-25
119,1751.0,1187.0,3009.0,-120.37305555,36.18,2010-08-06
120,4504.0,3044.0,2707.0,-119.565,36.67805555,2010-08-09
121,3246.0,2058.0,2722.0,-119.60194444,36.83194444,2010-08-10
122,6062.0,3975.0,2699.0,-119.43,36.66194444,2010-08-12
123,3879.0,2478.0,2699.0,-119.40305555,36.675,2010-08-12
124,3609.0,2393.0,2714.0,-119.78611111,36.63388888,2010-08-12
125,3854.0,2647.0,2716.0,-119.66111111,36.73694444,2010-08-14
126,3631.0,2704.0,3056.0,-120.38694444,36.74888888,2010-08-15
127,2522.0,1800.0,3058.0,-120.38388888,36.765,2010-08-15
128,1283.0,907.0,3172.0,-120.38888888,36.60305555,2010-08-22
129,1618.0,1009.0,3530.0,-120.56694444,36.77805555,2010-08-23
130,3645.0,2573.0,3146.0,-119.76388888,36.605,2010-08-27
131,3002.0,2029.0,3132.0,-119.55694444,36.53194444,2010-08-27
132,3127.0,2174.0,3151.0,-119.785,36.64111111,2010-08-27
133,3204.0,2173.0,3486.0,-119.78611111,36.63388888,2010-08-27
134,5057.0,3692.0,3524.0,-120.405,36.78388888,2010-08-28
135,1635.0,1103.0,3502.0,-120.38888888,36.545,2010-08-28
136,3860.0,2686.0,3165.0,-119.675,36.85611111,2010-08-28
137,4304.0,3019.0,4008.0,-119.88111111,36.54694444,2010-09-08
138,4036.0,2565.0,3669.0,-120.19888888,36.60305555,2010-09-10
139,2848.0,1831.0,4024.0,-119.56888888,36.825,2010-09-13
140,4586.0,3108.0,3657.0,-119.85388888,36.59,2010-09-15
141,4105.0,2699.0,4921.0,-119.81305555,36.69194444,2010-10-10
142,5067.0,3295.0,5381.0,-119.395,36.58111111,2010-10-11
143,3023.0,2108.0,4913.0,-119.845,36.605,2010-10-15
144,3395.0,2204.0,4918.0,-119.68194444,36.70694444,2010-10-16
145,4972.0,3103.0,4910.0,-119.64611111,36.62694444,2010-10-24
146,4295.0,2466.0,5583.0,-119.62805555,36.66305555,2010-10-29
147,2671.0,1184.0,5632.0,-120.6,36.95305555,2010-10-29
148,3962.0,2133.0,5634.0,-120.62694444,36.96694444,2010-11-02
149,2389.0,1735.0,1981.0,-120.38694444,36.765,2010-07-03
150,3224.0,2214.0,2121.0,-119.68388888,36.88611111,2010-07-03
151,4238.0,3183.0,2098.0,-119.52805555,36.69194444,2010-07-03
