,Longitude,Latitude,Datetime,Fire
0,-116.7,33.861999999999995,2020-09-18,1
1,-123.0,39.855,2020-09-10,1
2,-121.473,36.06800000000001,2020-09-07,1
3,-121.608,36.151,2020-08-21,1
4,-119.435,37.286,2020-09-21,1
5,-121.535,37.53,2020-08-20,1
6,-119.353,37.407,2020-09-07,1
7,-122.797,40.071,2020-09-03,1
8,-122.128,37.048,2020-08-20,1
9,-118.569,36.202,2020-09-12,1
10,-120.11,41.12600000000001,2020-08-23,1
11,-123.027,39.519,2020-09-16,1
12,-119.441,37.121,2020-09-09,1
13,-120.067,41.194,2020-08-24,1
14,-123.447,41.045,2020-09-07,1
15,-123.251,40.103,2020-09-08,1
16,-118.538,36.199,2020-09-05,1
17,-123.255,40.254,2020-09-12,1
18,-121.54,36.106,2020-09-08,1
19,-121.27,39.771,2020-09-09,1
20,-123.415,41.245,2020-09-09,1
21,-118.593,36.121,2020-09-17,1
22,-120.812,40.278,2020-08-24,1
23,-122.316,37.15,2020-08-20,1
24,-121.504,36.146,2020-09-08,1
25,-123.377,41.125,2020-09-07,1
26,-120.669,36.222,2020-07-19,1
27,-122.877,39.819,2020-09-07,1
28,-116.867,33.979,2020-08-02,1
29,-121.298,37.2,2020-08-20,1
30,-122.638,40.106,2020-08-20,1
31,-117.915,34.329,2020-09-13,1
32,-122.647,39.898,2020-08-20,1
33,-121.167,39.578,2020-09-17,1
34,-118.421,36.315,2020-09-13,1
35,-122.847,39.806,2020-09-02,1
36,-119.619,38.529,2020-09-05,1
37,-121.541,36.489,2020-08-19,1
38,-123.348,41.995,2020-09-09,1
39,-118.53,36.106,2020-09-16,1
40,-121.35,39.806,2020-09-10,1
41,-119.204,37.38800000000001,2020-09-14,1
42,-119.211,37.125,2020-09-07,1
43,-119.352,37.392,2020-09-06,1
44,-122.819,39.85,2020-09-01,1
45,-119.56,38.531,2020-08-31,1
46,-123.005,40.035,2020-09-13,1
47,-116.813,34.069,2020-08-02,1
48,-123.368,41.17,2020-09-11,1
49,-122.694,39.559,2020-08-25,1
50,-119.618,37.836,2020-09-08,1
51,-121.492,36.177,2020-09-12,1
52,-121.4,39.671,2020-09-09,1
53,-119.374,37.32,2020-09-06,1
54,-121.035,39.718,2020-09-11,1
55,-119.37,37.154,2020-09-07,1
56,-123.499,41.07100000000001,2020-09-05,1
57,-122.83,39.959,2020-09-03,1
58,-119.66,38.52,2020-09-12,1
59,-122.096,38.517,2020-08-20,1
60,-122.645,39.796,2020-09-16,1
61,-118.602,36.155,2020-09-13,1
62,-116.79,34.01,2020-08-06,1
63,-119.338,37.201,2020-09-05,1
64,-123.555,41.18899999999999,2020-08-16,1
65,-120.414,35.375,2020-08-02,1
66,-123.098,40.052,2020-09-19,1
67,-119.37,37.464,2020-09-17,1
68,-121.635,36.135,2020-08-20,1
69,-122.906,39.76300000000001,2020-09-09,1
70,-118.019,34.176,2020-09-13,1
71,-119.197,37.209,2020-09-14,1
72,-119.388,37.391,2020-09-06,1
73,-123.429,41.06100000000001,2020-09-07,1
74,-117.956,34.18,2020-09-14,1
75,-121.414,37.462,2020-08-18,1
76,-122.926,40.183,2020-09-11,1
77,-119.417,37.084,2020-09-08,1
78,-121.205,39.569,2020-09-14,1
79,-123.335,41.127,2020-09-10,1
80,-118.548,36.164,2020-09-12,1
81,-118.581,36.141,2020-09-16,1
82,-119.254,37.44300000000001,2020-09-14,1
83,-122.997,40.048,2020-09-14,1
84,-118.606,36.211,2020-09-13,1
85,-119.241,37.437,2020-09-17,1
86,-116.938,34.122,2020-09-19,1
87,-116.905,34.058,2020-08-02,1
88,-121.187,39.759,2020-09-09,1
89,-121.203,39.578,2020-09-09,1
90,-123.455,41.057,2020-09-09,1
91,-122.973,39.825,2020-09-15,1
92,-123.277,40.102,2020-09-08,1
93,-123.248,40.161,2020-09-08,1
94,-122.87,40.034,2020-09-10,1
95,-122.248,38.437,2020-08-19,1
96,-123.205,40.109,2020-09-08,1
97,-121.335,37.225,2020-08-20,1
98,-120.101,41.035,2020-08-24,1
99,-119.216,37.403,2020-09-11,1
100,-118.531,36.161,2020-09-12,1
101,-122.909,39.92,2020-08-22,1
102,-122.737,39.856,2020-08-29,1
103,-121.302,39.592,2020-09-09,1
104,-123.257,40.355,2020-09-17,1
105,-121.548,36.039,2020-08-23,1
106,-121.618,36.13800000000001,2020-08-20,1
107,-121.035,39.714,2020-09-09,1
108,-118.694,36.214,2020-09-15,1
109,-119.43,37.334,2020-09-09,1
110,-123.269,40.354,2020-09-17,1
111,-118.469,34.706,2020-08-13,1
112,-116.804,33.99,2020-08-07,1
113,-123.005,39.836,2020-09-10,1
