,Unnamed: 0,Longitude,Latitude,Datetime,Fire,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,LC_Prop1_Assessment,LC_Prop2_Assessment,LC_Prop3_Assessment,LC_Prop1,LC_Prop2,LC_Prop3,QC,LW,Fpar,Lai,FparLai_QC,FparExtra_QC,FparStdDev,LaiStdDev
0,0,-116.7,33.861999999999995,2020-09-18,1,"0    10
Name: LC_Type1, dtype: int64","0    10
Name: LC_Type2, dtype: int64","0    1
Name: LC_Type3, dtype: int64","0    6
Name: LC_Type4, dtype: int64","0    6
Name: LC_Type5, dtype: int64","0    89
Name: LC_Prop1_Assessment, dtype: int64","0    89
Name: LC_Prop2_Assessment, dtype: int64","0    89
Name: LC_Prop3_Assessment, dtype: int64","0    32
Name: LC_Prop1, dtype: int64","0    30
Name: LC_Prop2, dtype: int64","0    30
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    29
Name: Fpar, dtype: int64","0    5
Name: Lai, dtype: int64","0    0
Name: FparLai_QC, dtype: int64","0    128
Name: FparExtra_QC, dtype: int64","0    6
Name: FparStdDev, dtype: int64","0    1
Name: LaiStdDev, dtype: int64"
1,1,-123.0,39.855,2020-09-10,1,"0    8
Name: LC_Type1, dtype: int64","0    8
Name: LC_Type2, dtype: int64","0    4
Name: LC_Type3, dtype: int64","0    1
Name: LC_Type4, dtype: int64","0    1
Name: LC_Type5, dtype: int64","0    91
Name: LC_Prop1_Assessment, dtype: int64","0    91
Name: LC_Prop2_Assessment, dtype: int64","0    91
Name: LC_Prop3_Assessment, dtype: int64","0    21
Name: LC_Prop1, dtype: int64","0    20
Name: LC_Prop2, dtype: int64","0    20
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    2
Name: Fpar, dtype: int64","0    0
Name: Lai, dtype: int64","0    97
Name: FparLai_QC, dtype: int64","0    32
Name: FparExtra_QC, dtype: int64","0   NaN
Name: FparStdDev, dtype: float64","0   NaN
Name: LaiStdDev, dtype: float64"
2,2,-121.473,36.06800000000001,2020-09-07,1,"0    2
Name: LC_Type1, dtype: int64","0    2
Name: LC_Type2, dtype: int64","0    5
Name: LC_Type3, dtype: int64","0    2
Name: LC_Type4, dtype: int64","0    2
Name: LC_Type5, dtype: int64","0    68
Name: LC_Prop1_Assessment, dtype: int64","0    72
Name: LC_Prop2_Assessment, dtype: int64","0    72
Name: LC_Prop3_Assessment, dtype: int64","0    12
Name: LC_Prop1, dtype: int64","0    10
Name: LC_Prop2, dtype: int64","0    10
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    59
Name: Fpar, dtype: int64","0    19
Name: Lai, dtype: int64","0    0
Name: FparLai_QC, dtype: int64","0    128
Name: FparExtra_QC, dtype: int64","0    4
Name: FparStdDev, dtype: int64","0    2
Name: LaiStdDev, dtype: int64"
3,3,-121.60799999999999,36.150999999999996,2020-08-21,1,"0    8
Name: LC_Type1, dtype: int64","0    8
Name: LC_Type2, dtype: int64","0    4
Name: LC_Type3, dtype: int64","0    2
Name: LC_Type4, dtype: int64","0    2
Name: LC_Type5, dtype: int64","0    90
Name: LC_Prop1_Assessment, dtype: int64","0    90
Name: LC_Prop2_Assessment, dtype: int64","0    90
Name: LC_Prop3_Assessment, dtype: int64","0    21
Name: LC_Prop1, dtype: int64","0    20
Name: LC_Prop2, dtype: int64","0    20
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    23
Name: Fpar, dtype: int64","0    7
Name: Lai, dtype: int64","0    2
Name: FparLai_QC, dtype: int64","0    200
Name: FparExtra_QC, dtype: int64","0    3
Name: FparStdDev, dtype: int64","0    1
Name: LaiStdDev, dtype: int64"
4,4,-119.435,37.286,2020-09-21,1,"0    1
Name: LC_Type1, dtype: int64","0    1
Name: LC_Type2, dtype: int64","0    7
Name: LC_Type3, dtype: int64","0    1
Name: LC_Type4, dtype: int64","0    1
Name: LC_Type5, dtype: int64","0    89
Name: LC_Prop1_Assessment, dtype: int64","0    84
Name: LC_Prop2_Assessment, dtype: int64","0    84
Name: LC_Prop3_Assessment, dtype: int64","0    11
Name: LC_Prop1, dtype: int64","0    10
Name: LC_Prop2, dtype: int64","0    10
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    33
Name: Fpar, dtype: int64","0    6
Name: Lai, dtype: int64","0    2
Name: FparLai_QC, dtype: int64","0    0
Name: FparExtra_QC, dtype: int64","0    9
Name: FparStdDev, dtype: int64","0    2
Name: LaiStdDev, dtype: int64"
5,5,-121.535,37.53,2020-08-20,1,"0    10
Name: LC_Type1, dtype: int64","0    10
Name: LC_Type2, dtype: int64","0    1
Name: LC_Type3, dtype: int64","0    6
Name: LC_Type4, dtype: int64","0    6
Name: LC_Type5, dtype: int64","0    79
Name: LC_Prop1_Assessment, dtype: int64","0    79
Name: LC_Prop2_Assessment, dtype: int64","0    79
Name: LC_Prop3_Assessment, dtype: int64","0    31
Name: LC_Prop1, dtype: int64","0    30
Name: LC_Prop2, dtype: int64","0    30
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    13
Name: Fpar, dtype: int64","0    3
Name: Lai, dtype: int64","0    0
Name: FparLai_QC, dtype: int64","0    136
Name: FparExtra_QC, dtype: int64","0    5
Name: FparStdDev, dtype: int64","0    1
Name: LaiStdDev, dtype: int64"
6,6,-119.353,37.407,2020-09-07,1,"0    8
Name: LC_Type1, dtype: int64","0    8
Name: LC_Type2, dtype: int64","0    4
Name: LC_Type3, dtype: int64","0    1
Name: LC_Type4, dtype: int64","0    1
Name: LC_Type5, dtype: int64","0    75
Name: LC_Prop1_Assessment, dtype: int64","0    75
Name: LC_Prop2_Assessment, dtype: int64","0    75
Name: LC_Prop3_Assessment, dtype: int64","0    21
Name: LC_Prop1, dtype: int64","0    20
Name: LC_Prop2, dtype: int64","0    20
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    11
Name: Fpar, dtype: int64","0    3
Name: Lai, dtype: int64","0    0
Name: FparLai_QC, dtype: int64","0    192
Name: FparExtra_QC, dtype: int64","0    5
Name: FparStdDev, dtype: int64","0    1
Name: LaiStdDev, dtype: int64"
7,7,-122.79700000000001,40.071,2020-09-03,1,"0    1
Name: LC_Type1, dtype: int64","0    1
Name: LC_Type2, dtype: int64","0    7
Name: LC_Type3, dtype: int64","0    1
Name: LC_Type4, dtype: int64","0    1
Name: LC_Type5, dtype: int64","0    96
Name: LC_Prop1_Assessment, dtype: int64","0    95
Name: LC_Prop2_Assessment, dtype: int64","0    95
Name: LC_Prop3_Assessment, dtype: int64","0    11
Name: LC_Prop1, dtype: int64","0    10
Name: LC_Prop2, dtype: int64","0    10
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    23
Name: Fpar, dtype: int64","0    5
Name: Lai, dtype: int64","0    0
Name: FparLai_QC, dtype: int64","0    8
Name: FparExtra_QC, dtype: int64","0    12
Name: FparStdDev, dtype: int64","0    3
Name: LaiStdDev, dtype: int64"
8,8,-122.12799999999999,37.048,2020-08-20,1,"0    2
Name: LC_Type1, dtype: int64","0    2
Name: LC_Type2, dtype: int64","0    5
Name: LC_Type3, dtype: int64","0    2
Name: LC_Type4, dtype: int64","0    2
Name: LC_Type5, dtype: int64","0    97
Name: LC_Prop1_Assessment, dtype: int64","0    99
Name: LC_Prop2_Assessment, dtype: int64","0    99
Name: LC_Prop3_Assessment, dtype: int64","0    12
Name: LC_Prop1, dtype: int64","0    10
Name: LC_Prop2, dtype: int64","0    10
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    50
Name: Fpar, dtype: int64","0    12
Name: Lai, dtype: int64","0    16
Name: FparLai_QC, dtype: int64","0    8
Name: FparExtra_QC, dtype: int64","0    7
Name: FparStdDev, dtype: int64","0    3
Name: LaiStdDev, dtype: int64"
9,9,-118.569,36.202,2020-09-12,1,"0    8
Name: LC_Type1, dtype: int64","0    8
Name: LC_Type2, dtype: int64","0    4
Name: LC_Type3, dtype: int64","0    1
Name: LC_Type4, dtype: int64","0    1
Name: LC_Type5, dtype: int64","0    77
Name: LC_Prop1_Assessment, dtype: int64","0    77
Name: LC_Prop2_Assessment, dtype: int64","0    77
Name: LC_Prop3_Assessment, dtype: int64","0    21
Name: LC_Prop1, dtype: int64","0    20
Name: LC_Prop2, dtype: int64","0    20
Name: LC_Prop3, dtype: int64","0    0
Name: QC, dtype: int64","0    2
Name: LW, dtype: int64","0    6
Name: Fpar, dtype: int64","0    1
Name: Lai, dtype: int64","0    8
Name: FparLai_QC, dtype: int64","0    8
Name: FparExtra_QC, dtype: int64","0    0
Name: FparStdDev, dtype: int64","0    0
Name: LaiStdDev, dtype: int64"
