,Unnamed: 0,FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE,zipcode,address
0,0,2010,Equipment Use,36.76694444,-121.30305555,CA,2455335.5,70.0,2010-05-19,95075-9701,"Saddle Association Museum, Airline Highway, Tres Pinos, San Benito County, California, 95075-9701, United States"
1,1,2010,Miscellaneous,36.77694444,-121.31111111,CA,2455355.5,0.5,2010-06-08,95023,"Pinnacle Hills Golf Club, 7777, Airline Highway, Tres Pinos, San Benito County, California, 95023, United States"
2,2,2010,Miscellaneous,36.85611111,-121.38111111,CA,2455359.5,0.1,2010-06-12,95023,"1198, Santa Ana Road, Hollister, San Benito County, California, 95023, United States"
3,3,2010,Miscellaneous,36.81805555,-121.39111111,CA,2455361.5,0.1,2010-06-14,95023,"186, Hospital Road, Hollister, San Benito County, California, 95023, United States"
4,4,2010,Miscellaneous,36.88305555,-121.56194444,CA,2455388.5,1.0,2010-07-11,95045-9662,"Chittenden Road, River Oaks, San Benito County, California, 95045-9662, United States"
5,5,2010,Debris Burning,36.93611111,-121.38805555,CA,2455406.5,0.3,2010-07-29,95023-9227,"San Benito County, California, 95023-9227, United States"
6,6,2010,Equipment Use,36.75805555,-121.50305555,CA,2455450.5,0.5,2010-09-11,95045,"Valley View Campground, San Juan Canyon Road, San Benito County, California, 95045, United States"
7,7,2010,Miscellaneous,36.81805555,-121.39111111,CA,2455271.5,0.1,2010-03-16,95023,"186, Hospital Road, Hollister, San Benito County, California, 95023, United States"
8,8,2010,Miscellaneous,36.88305555,-121.56194444,CA,2455317.5,1.0,2010-05-01,95045-9662,"Chittenden Road, River Oaks, San Benito County, California, 95045-9662, United States"
9,10,2010,Equipment Use,36.26194444,-121.17888888,CA,2455380.5,0.5,2010-07-03,95012,"197, Walker Valley Road, Monterey County, California, 95012, United States"
10,11,2010,Miscellaneous,36.89611111,-121.42694444,CA,2455422.5,0.1,2010-08-14,93930,"El Camino Real, Monterey County, California, 93930, United States"
11,12,2010,Equipment Use,36.82694444,-121.38194444,CA,2455439.5,0.3,2010-08-31,95023-9437,"CA 156, San Benito County, California, 95023-9437, United States"
12,13,2010,Children,36.60888888,-121.93111111,CA,2455496.5,1.0,2010-10-27,95023-9627,"Union Road, Hollister, San Benito County, California, 95023-9627, United States"
13,14,2010,Debris Burning,36.61194444,-119.53388888,CA,2455225.5,1.0,2010-01-29,93950,"Rip Van Winkle Open Space, Navajo Road, Pacific Grove, Monterey County, California, 93950, United States"
14,15,2010,Equipment Use,36.76111111,-120.38194444,CA,2455238.5,1.0,2010-02-11,93648,"13900, East Parlier Avenue, Parlier, Fresno County, California, 93648, United States"
15,16,2010,Miscellaneous,36.48888888,-119.82694444,CA,2455259.5,0.1,2010-03-04,93640,"292, L Street, Mendota, Fresno County, California, 93640, United States"
16,17,2010,Miscellaneous,36.555,-119.795,CA,2455275.5,0.1,2010-03-20,93609,"1999, West Elkhorn Avenue, Burrel, Fresno County, California, 93609, United States"
