,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
0,San Benito County,331.0,4.0,122.0,114.0,317900.0,52500.0,408,0.15
1,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
2,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
3,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
4,San Benito County,4046.0,85.0,1542.0,1408.0,384800.0,58005.0,408,0.03
5,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
6,San Benito County,4046.0,85.0,1542.0,1408.0,384800.0,58005.0,408,0.03
7,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
8,San Benito County,4046.0,85.0,1542.0,1408.0,384800.0,58005.0,408,0.03
9,Monterey County,10320.0,691.0,2765.0,2525.0,246800.0,55127.0,831,0.79
10,Monterey County,15866.0,44.0,4260.0,3981.0,201000.0,47262.0,831,4.58
11,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
12,San Benito County,48841.0,118.0,15301.0,14491.0,338300.0,67481.0,408,0.75
13,Monterey County,15046.0,5251.0,8171.0,7022.0,667000.0,71969.0,,0.63
14,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
15,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
16,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
17,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
18,Fresno County,19504.0,25.0,4836.0,4317.0,148300.0,47088.0,559,0.3
19,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
20,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
21,Fresno County,71820.0,2209.0,23644.0,21680.0,185300.0,45760.0,559,0.0
22,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
23,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
24,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
25,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
26,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
27,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
28,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
29,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
30,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
31,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
32,Fresno County,,,,,,,559,
33,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
34,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
35,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
36,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
37,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
38,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
39,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
40,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
41,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
42,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
43,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
44,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
45,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
46,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
47,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
48,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
49,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
50,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
51,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
52,Fresno County,71820.0,2209.0,23644.0,21680.0,185300.0,45760.0,559,0.0
53,Fresno County,1114.0,10.0,302.0,263.0,126400.0,30523.0,559,0.34
54,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
55,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
56,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
57,Fresno County,7313.0,296.0,2416.0,2237.0,222400.0,45230.0,559,0.0
58,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
59,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
60,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
61,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
62,Fresno County,19504.0,25.0,4836.0,4317.0,148300.0,47088.0,559,0.3
63,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
64,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
65,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
66,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
67,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
68,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
69,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
70,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
71,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
72,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
73,Fresno County,19162.0,123.0,5642.0,5270.0,171100.0,48115.0,559,1.12
74,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
