,ozone,longitude,latitude,date
0,324.0,-121.30305555,36.76694444,2010-05-19
1,317.0,-121.31111111,36.77694444,2010-06-08
2,348.0,-121.38111111,36.85611111,2010-06-12
3,311.0,-121.39111111,36.81805555,2010-06-14
4,304.0,-121.56194444,36.88305555,2010-07-11
5,305.0,-121.38805555,36.93611111,2010-07-29
6,293.0,-121.50305555,36.75805555,2010-09-11
7,278.0,-121.39111111,36.81805555,2010-03-16
8,393.0,-121.56194444,36.88305555,2010-05-01
9,329.0,-121.17888888,36.26194444,2010-07-03
10,295.0,-121.42694444,36.89611111,2010-08-14
11,308.0,-121.38194444,36.82694444,2010-08-31
12,259.0,-121.93111111,36.60888888,2010-10-27
13,293.0,-119.53388888,36.61194444,2010-01-29
14,286.0,-120.38194444,36.76111111,2010-02-11
15,380.0,-119.82694444,36.48888888,2010-03-04
16,326.0,-119.795,36.555,2010-03-20
17,328.0,-120.20888888,36.35611111,2010-03-27
18,328.0,-120.56305555,36.85111111,2010-03-27
19,315.0,-120.60888888,36.97194444,2010-04-02
20,353.0,-119.66388888,36.70805555,2010-04-16
21,361.0,-119.62611111,36.82305555,2010-05-16
22,358.0,-120.15611111,36.13805555,2010-05-16
23,325.0,-120.56305555,36.85111111,2010-05-18
24,314.0,-120.37388888,36.79,2010-05-19
25,314.0,-119.62611111,36.85194444,2010-05-19
26,314.0,-119.78611111,36.67805555,2010-05-19
27,334.0,-120.09888888,36.20388888,2010-05-20
28,330.0,-119.71694444,36.56194444,2010-05-20
29,330.0,-119.755,36.66305555,2010-05-21
30,320.0,-119.625,36.81305555,2010-06-26
31,329.0,-119.37611111,36.705,2010-06-01
32,329.0,-119.64694444,36.57611111,2010-06-01
33,329.0,-119.95305555,36.56805555,2010-06-02
34,306.0,-119.58305555,36.72388888,2010-06-03
35,306.0,-120.38888888,36.75694444,2010-06-04
36,306.0,-120.53694444,36.67194444,2010-06-04
37,309.0,-119.57388888,36.82388888,2010-06-04
38,306.0,-120.56305555,36.85111111,2010-06-04
39,307.0,-119.57,36.725,2010-06-05
40,307.0,-119.59194444,36.75,2010-06-05
41,307.0,-119.64694444,36.57611111,2010-06-06
42,373.0,-119.76,36.71305555,2010-04-18
43,373.0,-119.78611111,36.67805555,2010-04-18
44,443.0,-119.72694444,36.72,2010-04-29
45,365.0,-119.78611111,36.67805555,2010-05-01
46,330.0,-119.55611111,36.68805555,2010-05-02
47,327.0,-120.62805555,36.95305555,2010-05-03
48,323.0,-119.59611111,36.54694444,2010-05-05
49,326.0,-119.73694444,36.67,2010-05-07
50,366.0,-119.72694444,36.72194444,2010-05-08
51,407.0,-120.48611111,36.53111111,2010-05-11
52,407.0,-120.38611111,36.75611111,2010-05-12
53,356.0,-119.51111111,36.63388888,2010-05-25
54,356.0,-119.69388888,36.63388888,2010-05-25
55,356.0,-119.73305555,36.71888888,2010-05-27
56,356.0,-119.79805555,36.41805555,2010-05-27
57,356.0,-119.79805555,36.41611111,2010-05-28
