,YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
0,2010,5,19,14.14,8.85,11.5,15.37,14.57,21.85,7.27
1,2010,6,8,15.71,8.62,12.16,17.72,13.14,23.51,10.37
2,2010,6,12,21.69,5.98,13.83,22.86,19.36,31.26,11.9
3,2010,6,14,19.74,8.31,14.03,21.72,20.33,30.91,10.58
4,2010,7,11,25.21,10.52,17.87,28.01,20.21,37.1,16.89
5,2010,7,29,21.18,6.83,14.0,24.01,23.45,34.25,10.8
6,2010,9,11,22.39,5.33,13.86,24.15,19.75,33.86,14.11
7,2010,3,16,15.06,7.3,11.19,12.72,12.22,22.34,10.13
8,2010,5,1,12.83,8.2,10.51,13.89,14.71,21.01,6.29
9,2010,7,3,16.63,9.25,12.94,16.57,17.23,26.09,8.87
10,2010,7,3,20.12,7.37,13.75,22.48,22.16,31.72,9.56
11,2010,8,14,19.65,9.33,14.48,22.43,19.22,31.36,12.14
12,2010,8,31,20.59,6.82,13.7,22.48,20.44,31.33,10.9
13,2010,10,27,13.45,6.19,9.82,12.64,9.06,18.08,9.02
14,2010,1,29,11.05,3.25,7.15,8.67,10.88,17.06,6.18
15,2010,2,11,8.26,5.8,7.03,7.23,8.3,13.12,4.81
16,2010,3,4,7.15,4.1,5.63,6.89,8.3,12.05,3.76
17,2010,3,20,16.59,6.26,11.43,13.51,12.02,23.08,11.05
18,2010,3,27,13.82,5.42,9.62,13.33,18.37,22.94,4.58
19,2010,3,27,13.09,5.11,9.1,12.51,18.06,21.85,3.79
20,2010,4,2,9.59,5.76,7.68,9.88,9.8,13.7,3.9
21,2010,4,16,15.08,9.07,12.08,14.99,12.62,21.79,9.16
22,2010,5,16,17.1,7.9,12.5,16.12,12.55,23.38,10.83
23,2010,5,16,20.2,9.54,14.87,21.83,15.74,29.15,13.42
24,2010,5,18,17.12,10.11,13.61,18.92,13.82,24.3,10.48
25,2010,5,19,17.24,8.74,12.99,18.75,17.02,26.46,9.44
26,2010,5,19,15.33,6.93,11.13,14.55,14.08,22.24,8.16
27,2010,5,19,19.51,9.01,14.26,21.11,18.35,29.1,10.75
28,2010,5,20,17.88,4.43,11.15,19.33,16.16,26.55,10.39
29,2010,5,20,17.64,5.63,11.63,18.88,15.3,25.62,10.32
30,2010,5,21,14.81,3.81,9.31,16.15,14.46,22.71,8.25
31,2010,5,22,12.9,2.06,7.48,14.48,12.5,19.66,7.16
32,2010,6,26,23.37,9.44,16.4,23.87,17.94,31.46,13.52
33,2010,6,1,21.32,11.82,16.57,22.63,11.82,27.23,15.4
34,2010,6,1,21.32,11.82,16.57,22.63,11.82,27.23,15.4
35,2010,6,2,22.87,11.8,17.33,24.45,18.95,32.45,13.51
36,2010,6,3,24.67,13.92,19.3,25.85,15.2,32.1,16.9
37,2010,6,4,23.97,14.26,19.12,25.48,16.53,32.58,16.05
38,2010,6,4,22.78,13.34,18.06,24.66,16.93,31.65,14.73
39,2010,6,4,21.07,12.12,16.59,21.12,16.36,29.32,12.96
40,2010,6,4,23.97,14.26,19.12,25.48,16.53,32.58,16.05
41,2010,6,5,27.77,13.87,20.82,28.83,17.23,36.85,19.62
42,2010,6,5,23.37,11.45,17.41,23.25,17.51,31.93,14.43
43,2010,6,6,27.61,13.97,20.79,28.8,16.8,36.8,20.01
44,2010,4,18,17.5,10.07,13.78,17.87,16.57,25.92,9.35
45,2010,4,18,17.5,10.07,13.78,17.87,16.57,25.92,9.35
46,2010,4,29,10.73,3.74,7.23,11.55,11.5,16.51,5.01
47,2010,5,1,15.37,7.56,11.47,16.4,18.3,24.44,6.15
48,2010,5,2,16.84,7.49,12.17,16.63,15.98,24.58,8.59
49,2010,5,3,19.23,9.08,14.15,19.79,19.6,29.96,10.36
50,2010,5,5,16.99,6.9,11.94,17.13,12.93,23.83,10.9
51,2010,5,7,17.71,5.19,11.45,18.94,18.25,27.18,8.93
52,2010,5,8,16.63,6.59,11.62,17.95,17.06,25.42,8.36
53,2010,5,11,11.23,3.69,7.46,12.55,14.53,18.76,4.23
54,2010,5,12,16.05,7.81,11.93,17.15,18.72,25.98,7.26
55,2010,5,24,15.01,4.98,10.0,17.25,16.19,23.0,6.81
56,2010,5,25,17.06,5.93,11.5,17.6,12.16,23.15,11.0
57,2010,5,25,16.76,7.64,12.19,18.2,15.79,24.28,8.5
58,2010,5,27,15.7,7.47,11.58,17.33,11.09,21.83,10.73
59,2010,5,27,15.7,7.47,11.58,17.33,11.09,21.83,10.73
60,2010,5,28,15.65,5.17,10.41,17.24,13.97,22.33,8.37
61,2010,5,30,18.64,1.66,10.15,17.31,17.4,26.46,9.07
62,2010,5,30,22.63,6.15,14.39,24.26,21.77,33.71,11.95
63,2010,5,31,23.12,4.84,13.98,24.8,18.93,32.61,13.69
64,2010,5,31,22.18,7.05,14.62,23.58,17.36,30.65,13.29
65,2010,5,31,17.74,4.77,11.26,17.15,13.53,24.06,10.53
66,2010,6,1,21.32,11.82,16.57,22.63,11.82,27.23,15.4
67,2010,6,6,27.61,13.97,20.79,28.8,16.8,36.8,20.01
68,2010,6,6,27.61,13.97,20.79,28.8,16.8,36.8,20.01
69,2010,6,7,21.5,10.56,16.03,23.19,17.3,30.94,13.63
70,2010,6,8,19.42,5.33,12.37,21.72,18.23,29.59,11.36
71,2010,6,8,22.83,7.53,15.19,24.85,18.02,32.69,14.66
72,2010,6,9,22.23,8.61,15.42,23.98,18.53,31.94,13.41
73,2010,6,9,22.23,8.61,15.42,23.98,18.53,31.94,13.41
74,2010,6,9,22.77,9.88,16.33,24.36,16.58,31.4,14.82
75,2010,6,10,15.94,5.88,10.91,17.84,13.3,23.21,9.91
76,2010,6,17,24.24,-0.86,11.69,26.51,21.58,34.8,13.23
77,2010,6,17,24.12,-1.88,11.12,26.33,21.25,34.63,13.38
78,2010,6,18,22.1,2.73,12.41,24.94,20.23,32.69,12.47
79,2010,6,18,21.2,5.08,13.14,22.73,17.74,30.94,13.2
80,2010,6,19,19.75,3.92,11.83,22.36,19.93,30.28,10.35
81,2010,6,19,20.51,3.94,12.23,22.74,17.13,29.62,12.49
82,2010,6,20,21.2,3.0,12.1,22.84,17.48,30.21,12.73
83,2010,6,20,20.63,3.03,11.83,23.26,21.21,31.32,10.11
84,2010,6,20,20.63,3.03,11.83,23.26,21.21,31.32,10.11
85,2010,6,22,21.67,4.71,13.19,21.76,17.67,30.43,12.75
86,2010,6,22,26.83,5.08,15.96,29.42,21.98,37.19,15.21
87,2010,6,11,16.09,0.84,8.47,16.48,15.5,23.98,8.49
88,2010,6,12,22.62,2.83,12.73,24.25,18.48,31.33,12.84
89,2010,6,12,23.94,5.49,14.72,24.54,16.6,31.62,15.02
90,2010,6,13,26.16,6.44,16.3,27.73,20.59,36.55,15.95
91,2010,6,14,28.01,4.94,16.48,30.44,21.6,39.12,17.51
92,2010,6,15,25.04,5.2,15.12,26.33,16.7,34.08,17.37
93,2010,6,15,18.89,5.58,12.23,21.23,19.98,30.67,10.69
94,2010,6,15,18.89,5.58,12.23,21.23,19.98,30.67,10.69
95,2010,6,16,21.45,3.37,12.41,22.94,16.55,29.53,12.98
96,2010,6,16,21.09,2.57,11.83,23.39,19.11,30.84,11.74
97,2010,6,22,26.83,5.08,15.96,29.42,21.98,37.19,15.21
98,2010,6,23,27.97,5.27,16.62,28.72,14.74,35.27,20.53
99,2010,6,24,26.26,4.42,15.34,27.85,16.71,34.72,18.01
100,2010,6,25,24.99,8.3,16.65,27.85,19.12,34.8,15.69
101,2010,6,25,25.58,7.78,16.68,28.83,18.93,35.29,16.36
102,2010,6,25,21.67,8.94,15.31,24.22,19.59,32.02,12.43
103,2010,6,27,31.66,9.33,20.49,32.9,20.55,41.19,20.64
104,2010,6,27,28.9,9.33,19.12,30.97,24.42,41.34,16.92
105,2010,6,28,32.95,8.17,20.56,34.3,19.96,42.98,23.01
106,2010,6,29,29.99,7.43,18.71,32.29,18.98,39.83,20.86
107,2010,6,30,27.63,1.94,14.79,29.87,20.31,38.32,18.01
108,2010,7,5,27.3,5.98,16.63,30.26,21.42,38.55,17.13
109,2010,7,6,28.05,7.71,17.87,29.89,18.57,37.24,18.67
110,2010,7,6,28.05,7.71,17.87,29.89,18.57,37.24,18.67
111,2010,7,6,28.05,7.71,17.87,29.89,18.57,37.24,18.67
112,2010,7,6,28.56,8.33,18.44,31.09,19.8,38.47,18.67
113,2010,7,7,28.0,8.02,18.01,29.81,18.29,37.0,18.72
114,2010,7,7,28.08,8.63,18.36,30.72,19.88,38.37,18.5
115,2010,7,8,26.62,8.87,17.74,29.99,21.29,38.48,17.19
116,2010,7,8,27.71,7.76,17.73,30.05,20.86,38.33,17.48
117,2010,7,8,24.38,5.14,14.76,24.54,17.84,32.52,14.69
118,2010,7,9,26.12,8.4,17.26,28.76,23.13,38.48,15.34
119,2010,7,17,33.65,9.08,21.37,35.43,16.95,42.33,25.38
120,2010,7,18,33.15,5.65,19.4,34.7,18.23,42.7,24.48
121,2010,7,19,32.21,1.23,16.72,33.64,18.59,42.01,23.43
122,2010,7,19,31.06,1.98,16.52,33.31,22.8,42.9,20.12
123,2010,7,19,32.21,1.23,16.72,33.64,18.59,42.01,23.43
124,2010,7,21,28.51,6.68,17.59,31.53,20.81,39.23,18.41
125,2010,7,23,26.89,6.8,16.84,29.45,25.2,40.11,14.9
126,2010,7,23,29.4,4.98,17.19,30.77,19.32,38.81,19.49
127,2010,7,24,30.66,6.77,18.72,32.77,21.43,41.61,20.18
128,2010,7,24,30.76,5.66,18.21,32.26,18.88,40.36,21.48
129,2010,7,25,29.54,7.13,18.33,31.24,17.12,38.3,21.17
130,2010,7,25,29.65,7.19,18.42,32.09,19.74,40.05,20.3
131,2010,8,6,22.06,7.11,14.58,24.93,19.61,32.76,13.15
132,2010,8,9,26.12,6.72,16.42,27.64,17.5,34.98,17.48
133,2010,8,10,22.35,2.55,12.45,21.65,14.64,29.55,14.92
134,2010,8,12,26.2,7.21,16.71,27.38,15.99,34.28,18.29
135,2010,8,12,26.2,7.21,16.71,27.38,15.99,34.28,18.29
136,2010,8,12,25.93,8.8,17.37,28.26,19.16,35.81,16.65
137,2010,8,14,26.43,7.65,17.04,27.73,16.87,35.06,18.19
138,2010,8,15,23.66,7.54,15.6,26.22,22.73,35.94,13.21
139,2010,8,15,23.48,8.83,16.15,25.71,21.98,35.42,13.45
140,2010,8,22,22.01,2.94,12.48,23.85,20.16,32.28,12.13
141,2010,8,23,27.04,2.11,14.58,28.78,23.23,39.07,15.84
142,2010,8,27,27.21,3.69,15.45,29.37,20.77,38.05,17.29
143,2010,8,27,29.07,2.76,15.91,30.51,16.67,37.65,20.98
144,2010,8,27,27.21,3.69,15.45,29.37,20.77,38.05,17.29
145,2010,8,27,27.21,3.69,15.45,29.37,20.77,38.05,17.29
146,2010,8,27,27.21,3.69,15.45,29.37,20.77,38.05,17.29
147,2010,8,28,18.05,7.97,13.01,19.94,15.59,27.02,11.43
148,2010,8,28,16.52,6.73,11.63,18.55,15.26,25.23,9.97
149,2010,8,28,16.31,-0.33,7.99,16.51,12.27,22.84,10.58
150,2010,9,8,20.26,10.41,15.34,21.76,10.41,25.59,15.18
151,2010,9,10,22.3,5.28,13.79,24.04,18.75,32.02,13.27
152,2010,9,13,20.83,-2.02,9.4,18.9,14.23,28.49,14.26
153,2010,9,14,23.87,0.58,12.22,24.5,17.77,33.01,15.24
154,2010,9,15,23.27,3.76,13.52,24.62,19.77,33.88,14.12
155,2010,10,10,21.74,9.97,15.86,22.22,16.92,31.3,14.37
156,2010,10,11,23.71,10.76,17.24,23.26,12.62,30.88,18.25
157,2010,10,11,19.44,7.96,13.7,18.68,14.37,27.37,13.0
158,2010,10,15,26.03,5.97,16.0,26.01,16.45,35.76,19.32
159,2010,10,16,24.19,6.83,15.51,23.55,12.02,30.84,18.83
160,2010,10,24,17.88,11.77,14.83,18.74,8.97,22.46,13.49
161,2010,10,29,17.47,3.24,10.35,16.18,13.14,25.29,12.15
162,2010,10,29,16.03,3.63,9.83,14.98,15.07,24.35,9.28
163,2010,11,2,17.46,9.39,13.42,16.73,16.87,26.69,9.82
164,2010,7,3,24.83,6.24,15.53,26.92,22.25,35.93,13.68
165,2010,7,3,21.83,2.96,12.39,21.88,16.66,29.93,13.26
166,2010,7,3,27.08,4.78,15.93,28.64,16.97,35.73,18.76
167,2010,7,3,26.46,5.08,15.77,28.15,19.05,36.15,17.1
168,2010,7,4,28.26,2.58,15.43,30.9,22.05,39.17,17.12
169,2010,7,4,28.51,2.75,15.63,29.5,19.41,37.59,18.19
170,2010,7,4,28.51,2.75,15.63,29.5,19.41,37.59,18.19
171,2010,7,4,26.4,1.74,14.07,29.25,22.23,37.53,15.3
172,2010,7,4,28.26,2.58,15.43,30.9,22.05,39.17,17.12
173,2010,7,5,28.98,6.76,17.87,31.69,21.5,39.76,18.26
174,2010,7,9,26.12,8.4,17.26,28.76,23.13,38.48,15.34
175,2010,7,9,28.93,7.5,18.22,31.57,20.45,39.4,18.94
176,2010,7,9,28.93,7.5,18.22,31.57,20.45,39.4,18.94
177,2010,7,10,31.06,6.2,18.63,32.92,18.48,40.57,22.1
178,2010,7,10,28.26,9.23,18.74,31.03,25.03,41.29,16.26
179,2010,7,11,31.04,11.24,21.14,33.48,19.17,41.1,21.92
180,2010,7,12,29.97,8.63,19.3,32.0,17.12,38.65,21.52
181,2010,7,14,28.02,7.66,17.84,30.43,22.65,39.21,16.56
182,2010,7,15,33.46,7.21,20.33,34.56,18.59,42.25,23.65
183,2010,7,17,33.22,9.01,21.12,35.21,19.73,43.65,23.93
184,2010,7,26,26.13,6.38,16.26,29.46,20.31,37.2,16.89
185,2010,7,26,28.13,6.96,17.55,30.93,18.44,38.34,19.9
186,2010,7,27,26.79,6.6,16.69,29.73,18.95,37.16,18.21
187,2010,7,28,26.49,5.9,16.19,28.4,18.82,35.83,17.01
188,2010,7,28,26.21,6.57,16.39,28.9,20.29,36.9,16.61
189,2010,7,31,28.14,5.44,16.79,30.62,21.39,39.21,17.82
190,2010,7,31,28.14,5.44,16.79,30.62,21.39,39.21,17.82
191,2010,8,2,24.19,-5.33,9.44,22.91,16.17,32.15,15.98
192,2010,8,31,19.17,1.22,10.19,18.89,16.7,27.49,10.8
193,2010,8,31,21.8,6.8,14.3,23.5,19.41,31.94,12.54
194,2010,8,31,22.68,5.83,14.26,24.01,17.54,31.87,14.33
195,2010,8,31,19.17,1.22,10.19,18.89,16.7,27.49,10.8
196,2010,8,31,22.83,6.55,14.69,24.56,18.02,32.29,14.26
197,2010,8,31,23.38,5.68,14.53,24.38,15.55,31.62,16.06
198,2010,9,3,30.0,2.05,16.02,30.35,18.73,39.94,21.2
199,2010,9,3,29.51,4.54,17.03,30.75,23.21,41.76,18.55
200,2010,9,3,29.51,4.54,17.03,30.75,23.21,41.76,18.55
201,2010,9,4,25.4,-3.06,11.17,23.26,16.16,33.91,17.75
202,2010,9,4,28.31,4.05,16.19,29.99,21.76,40.23,18.47
203,2010,9,5,27.98,-0.72,13.62,28.79,17.14,37.18,20.04
204,2010,9,5,27.98,-0.72,13.62,28.79,17.14,37.18,20.04
205,2010,9,22,18.56,5.44,12.0,19.66,11.45,25.12,13.65
206,2010,9,22,16.12,6.02,11.07,17.67,13.08,23.82,10.73
207,2010,9,24,23.07,1.49,12.28,23.98,22.47,35.2,12.73
208,2010,9,25,26.74,-1.35,12.69,27.01,21.98,39.15,17.17
209,2010,9,25,26.74,-1.35,12.69,27.01,21.98,39.15,17.17
210,2010,9,25,28.97,-3.65,12.66,27.96,19.07,38.87,19.8
211,2010,9,26,27.78,0.14,13.96,28.26,22.11,40.21,18.11
212,2010,9,28,31.35,1.02,16.19,31.44,20.49,42.54,22.05
213,2010,9,30,29.74,4.08,16.9,30.15,16.82,38.83,22.01
214,2010,9,30,30.18,5.32,17.75,29.4,13.02,37.17,24.15
215,2010,10,2,28.3,9.69,19.0,29.76,16.34,38.05,21.71
216,2010,10,3,25.99,13.82,19.9,27.37,13.62,33.02,19.39
217,2010,10,3,25.81,13.98,19.9,26.94,12.2,32.32,20.11
218,2010,11,3,23.05,7.85,15.45,21.26,14.01,30.25,16.25
219,2010,11,16,12.27,0.06,6.17,9.58,14.52,20.38,5.86
220,2010,11,17,14.97,2.11,8.54,12.94,13.45,22.92,9.47
221,2010,1,2,10.32,5.11,7.72,7.98,8.55,15.54,6.98
222,2010,1,9,11.15,7.18,9.16,8.9,6.46,15.37,8.91
223,2010,1,13,11.32,8.58,9.95,11.19,8.18,15.42,7.24
224,2010,4,16,14.37,8.97,11.66,14.4,13.56,21.48,7.91
225,2010,5,1,14.81,8.1,11.45,15.11,16.41,23.32,6.91
226,2010,5,2,14.73,7.11,10.92,14.86,16.5,23.37,6.87
227,2010,5,6,14.84,3.41,9.13,15.17,16.44,22.93,6.49
228,2010,5,6,14.37,3.26,8.82,14.84,15.87,22.37,6.5
229,2010,5,7,16.53,4.76,10.65,17.61,18.48,26.23,7.74
230,2010,5,8,15.05,7.22,11.13,16.38,16.88,24.05,7.17
