,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
0,2010,5,19,21.05,5.88,7.82,3.7,4.12,3.26,7.26,20.55,1.76,74.06,0.98,98.03,2.55,311.29,4.24,13.87,12.73,15.37,0.04,0.12
1,2010,6,8,17.72,5.13,22.0,10.39,3.61,3.0,3.91,15.07,11.61,5.45,97.68,2.45,7.14,3.67,7.52,22.77,66.38,299.49,0.0,0.14
2,2010,6,12,11.42,4.94,13.51,3.73,2.59,2.5,6.1,30.11,2.34,42.81,1.22,97.42,2.42,294.6,3.72,21.83,16.59,22.86,0.0,0.12
3,2010,6,14,13.2,6.45,10.6,4.63,3.47,2.92,7.08,29.23,2.98,54.25,1.75,97.6,3.27,304.59,4.67,19.21,18.62,21.72,0.0,0.16
4,2010,7,11,18.36,2.31,97.32,0.08,5.9,346.41,24.51,28.95,3.2,16.87,46.0,4.13,8.24,28.01,6.0,35.23,4.21,0.1,0.0,0.16
5,2010,7,29,24.01,3.8,32.23,10.81,2.72,1.83,2.42,20.4,21.42,3.73,97.68,1.9,6.41,2.78,5.14,11.39,49.19,314.62,0.0,0.16
6,2010,9,11,316.75,22.2,13.39,4.22,17.03,2.86,15.08,4.41,0.19,1.4,39.94,32.11,5.8,2.11,97.54,0.16,24.15,3.02,0.16,0.0
7,2010,3,16,296.16,16.24,13.32,2.73,9.81,2.09,12.37,3.23,0.5,1.02,61.38,22.19,6.71,1.7,98.43,0.27,12.72,2.37,0.14,0.0
8,2010,5,1,6.39,5.97,16.18,76.75,2.94,97.58,20.04,13.89,4.22,12.52,13.65,4.25,2.52,7.02,3.38,282.08,2.59,1.73,0.12,0.01
9,2010,7,3,16.57,15.52,7.45,295.09,9.53,0.88,16.52,2.16,3.28,25.05,11.8,67.81,1.51,98.55,0.34,0.68,3.97,1.17,0.0,0.16
10,2010,7,3,22.48,19.79,6.77,295.09,10.06,2.15,19.55,3.02,5.07,29.86,10.91,52.06,4.33,95.49,0.66,0.83,5.9,3.66,0.0,0.16
11,2010,8,14,318.18,18.87,15.9,3.14,17.48,2.06,12.06,6.16,3.02,3.02,58.31,29.55,7.57,4.12,97.37,2.27,22.43,4.33,0.18,0.01
12,2010,8,31,316.41,20.34,12.81,2.55,18.29,2.24,11.45,4.81,2.27,2.23,51.75,29.74,6.53,3.3,97.62,1.32,22.48,3.56,0.16,0.01
13,2010,10,27,277.51,14.44,9.98,2.05,7.9,2.04,10.49,3.89,1.84,2.02,63.75,18.39,5.92,3.02,100.37,1.04,12.64,3.08,0.12,0.0
14,2010,1,29,9.23,2.8,12.79,60.0,1.1,98.61,16.84,8.67,1.98,12.88,7.61,1.97,1.66,4.88,2.36,293.77,0.44,0.3,0.17,0.04
15,2010,2,11,1.73,1.06,15.09,282.38,100.08,2.34,1.72,1.41,5.74,9.01,84.62,0.3,0.61,13.06,5.47,7.59,1.73,7.23,0.0,0.16
16,2010,3,4,6.89,6.69,5.13,284.76,4.72,1.68,7.68,2.62,2.83,11.4,9.99,82.19,2.75,100.07,0.54,0.89,3.73,2.21,0.78,0.2
17,2010,3,20,12.54,2.49,7.92,51.44,0.9,100.38,22.98,13.51,1.33,17.74,10.44,1.91,1.69,5.98,2.14,311.3,0.34,0.23,0.18,0.0
18,2010,3,27,16.27,1.17,100.53,0.39,2.92,276.85,14.73,12.23,1.95,6.28,61.69,1.5,5.62,13.33,3.47,22.55,1.89,0.54,0.0,0.18
19,2010,3,27,11.95,3.24,5.75,1.81,2.98,1.79,5.49,21.54,0.27,62.69,0.2,100.2,1.06,276.85,1.98,14.01,15.79,12.51,0.0,0.18
20,2010,4,2,5.15,3.39,17.02,79.31,1.45,99.9,13.16,9.88,2.3,9.77,8.01,2.41,1.62,5.8,2.14,304.3,1.25,0.79,0.16,1.58
21,2010,4,16,3.53,1.48,13.8,292.7,98.71,3.98,2.89,2.66,7.32,15.6,69.56,0.23,0.45,21.03,10.21,10.83,2.23,14.99,0.0,0.18
22,2010,5,16,16.12,7.55,7.51,350.42,14.62,0.77,18.14,2.02,3.52,22.17,16.54,56.75,1.2,89.7,0.16,0.2,3.7,1.04,0.0,0.17
23,2010,5,16,14.18,5.97,20.55,55.25,2.41,98.5,27.98,21.83,3.48,19.92,13.8,4.24,3.35,7.63,4.76,328.91,1.21,0.89,0.16,0.0
