,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,Datetime,LocationString
0,36.064,-98.021,344.8,1.1,1.1,2020-07-01,425,Terra,MODIS,100,6.0NRT,299.3,58.3,N,2020-07-01,"36.064,-98.021"
1,36.073,-98.023,322.6,1.1,1.1,2020-07-01,425,Terra,MODIS,100,6.0NRT,298.6,20.3,N,2020-07-01,"36.073,-98.023"
2,32.396,-110.75,384.1,1.0,1.0,2020-07-01,1805,Terra,MODIS,100,6.0NRT,316.1,158.6,D,2020-07-01,"32.396,-110.75"
3,36.316,-97.849,378.2,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,318.8,122.4,D,2020-07-01,"36.316,-97.849"
4,36.315,-97.861,371.1,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,319.7,95.0,D,2020-07-01,"36.315,-97.861"
5,37.547,-98.143,395.2,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,319.8,208.8,D,2020-07-01,"37.547,-98.143"
6,36.636,-98.525,368.8,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,325.1,83.5,D,2020-07-01,"36.636,-98.525"
7,37.058,-98.011,421.4,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,320.8,391.9,D,2020-07-01,"37.058,-98.011"
8,37.196,-98.146,399.8,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,322.6,232.7,D,2020-07-01,"37.196,-98.146"
9,36.872,-97.406,370.3,1.0,1.0,2020-07-01,1945,Aqua,MODIS,100,6.0NRT,313.7,99.7,D,2020-07-01,"36.872,-97.406"
10,35.299,-118.627,324.6,4.4,1.9,2020-07-02,510,Terra,MODIS,100,6.0NRT,292.2,191.4,N,2020-07-02,"35.299,-118.627"
11,35.301,-118.633,323.7,4.4,1.9,2020-07-02,510,Terra,MODIS,100,6.0NRT,291.9,185.0,N,2020-07-02,"35.301,-118.633"
12,35.928,-109.271,335.2,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,292.6,47.4,N,2020-07-02,"35.928,-109.271"
13,35.926,-109.284,320.6,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,289.3,24.6,N,2020-07-02,"35.926,-109.284"
14,35.924,-109.297,321.4,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,288.1,25.9,N,2020-07-02,"35.924,-109.297"
15,35.94,-109.261,320.1,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,289.6,24.8,N,2020-07-02,"35.94,-109.261"
16,35.95,-109.263,320.6,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,288.4,25.9,N,2020-07-02,"35.95,-109.263"
17,35.954,-109.258,336.0,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,290.2,50.2,N,2020-07-02,"35.954,-109.258"
18,35.952,-109.27,328.4,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,288.4,37.2,N,2020-07-02,"35.952,-109.27"
19,35.961,-109.273,333.6,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,289.9,46.3,N,2020-07-02,"35.961,-109.273"
20,35.959,-109.286,323.9,1.2,1.1,2020-07-02,510,Terra,MODIS,100,6.0NRT,287.3,30.9,N,2020-07-02,"35.959,-109.286"
21,39.46,-112.181,329.7,1.0,1.0,2020-07-02,925,Aqua,MODIS,100,6.0NRT,290.8,31.1,N,2020-07-02,"39.46,-112.181"
22,36.931,-97.614,363.1,1.2,1.1,2020-07-02,1710,Terra,MODIS,100,6.0NRT,305.9,102.7,D,2020-07-02,"36.931,-97.614"
23,35.655,-98.179,374.1,1.2,1.1,2020-07-02,1710,Terra,MODIS,100,6.0NRT,310.7,150.4,D,2020-07-02,"35.655,-98.179"
24,35.653,-98.165,360.3,1.2,1.1,2020-07-02,1710,Terra,MODIS,100,6.0NRT,309.6,92.0,D,2020-07-02,"35.653,-98.165"
25,38.336,-97.77,390.6,3.9,1.8,2020-07-02,1850,Aqua,MODIS,100,6.0NRT,302.5,1377.6,D,2020-07-02,"38.336,-97.77"
26,38.325,-97.773,365.1,3.9,1.8,2020-07-02,1850,Aqua,MODIS,100,6.0NRT,301.2,638.6,D,2020-07-02,"38.325,-97.773"
27,43.696,-113.051,372.9,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,320.7,115.7,D,2020-07-02,"43.696,-113.051"
28,43.707,-113.034,368.6,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,315.4,97.7,D,2020-07-02,"43.707,-113.034"
29,43.705,-113.046,431.7,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,341.8,503.5,D,2020-07-02,"43.705,-113.046"
30,43.703,-113.058,367.9,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,321.4,97.7,D,2020-07-02,"43.703,-113.058"
31,43.716,-113.036,388.0,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,309.6,179.1,D,2020-07-02,"43.716,-113.036"
32,43.714,-113.049,443.6,1.0,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,329.1,639.6,D,2020-07-02,"43.714,-113.049"
33,39.467,-112.158,373.3,1.1,1.0,2020-07-02,2030,Aqua,MODIS,100,6.0NRT,322.4,108.0,D,2020-07-02,"39.467,-112.158"
34,35.949,-109.27,321.7,2.2,1.4,2020-07-03,550,Terra,MODIS,100,6.0NRT,288.3,67.5,N,2020-07-03,"35.949,-109.27"
35,35.949,-109.276,323.7,2.2,1.4,2020-07-03,550,Terra,MODIS,100,6.0NRT,288.7,70.6,N,2020-07-03,"35.949,-109.276"
36,39.456,-112.148,322.3,1.6,1.2,2020-07-03,555,Terra,MODIS,100,6.0NRT,293.4,36.8,N,2020-07-03,"39.456,-112.148"
37,36.864,-77.599,363.0,1.1,1.1,2020-07-03,1615,Terra,MODIS,100,6.0NRT,302.8,106.0,D,2020-07-03,"36.864,-77.599"
38,42.243,-79.791,324.1,1.0,1.0,2020-07-04,320,Terra,MODIS,100,6.0NRT,292.7,21.6,N,2020-07-04,"42.243,-79.791"
39,42.245,-79.779,332.0,1.0,1.0,2020-07-04,320,Terra,MODIS,100,6.0NRT,293.3,31.4,N,2020-07-04,"42.245,-79.779"
40,33.305,-108.529,330.6,1.8,1.3,2020-07-04,455,Terra,MODIS,100,6.0NRT,290.5,71.6,N,2020-07-04,"33.305,-108.529"
41,35.935,-109.27,361.7,1.2,1.1,2020-07-04,2015,Aqua,MODIS,100,6.0NRT,303.9,98.5,D,2020-07-04,"35.935,-109.27"
42,46.0,-106.809,360.9,1.1,1.0,2020-07-04,2015,Aqua,MODIS,100,6.0NRT,313.5,83.9,D,2020-07-04,"46.0,-106.809"
43,30.002,-90.404,322.3,1.2,1.1,2020-07-05,400,Terra,MODIS,100,6.0NRT,291.9,23.2,N,2020-07-05,"30.002,-90.404"
44,33.421,-110.869,322.2,1.1,1.0,2020-07-05,540,Terra,MODIS,100,6.0NRT,298.2,19.1,N,2020-07-05,"33.421,-110.869"
45,34.265,-111.524,321.5,1.1,1.0,2020-07-05,540,Terra,MODIS,100,6.0NRT,299.0,17.5,N,2020-07-05,"34.265,-111.524"
46,37.159,-121.571,334.6,1.1,1.1,2020-07-05,955,Aqua,MODIS,100,6.0NRT,292.6,42.9,N,2020-07-05,"37.159,-121.571"
47,36.749,-119.153,364.0,1.1,1.0,2020-07-05,2100,Aqua,MODIS,100,6.0NRT,319.4,86.4,D,2020-07-05,"36.749,-119.153"
48,43.738,-121.439,435.9,1.1,1.0,2020-07-05,2100,Aqua,MODIS,100,6.0NRT,325.0,571.8,D,2020-07-05,"43.738,-121.439"
49,43.736,-121.452,367.8,1.1,1.0,2020-07-05,2100,Aqua,MODIS,100,6.0NRT,320.5,100.0,D,2020-07-05,"43.736,-121.452"
50,33.294,-108.515,320.3,2.8,1.6,2020-07-06,445,Terra,MODIS,100,6.0NRT,288.8,89.0,N,2020-07-06,"33.294,-108.515"
51,37.016,-121.45,337.5,1.2,1.1,2020-07-06,625,Terra,MODIS,100,6.0NRT,290.8,51.0,N,2020-07-06,"37.016,-121.45"
52,37.019,-121.423,327.6,1.2,1.1,2020-07-06,625,Terra,MODIS,100,6.0NRT,291.0,35.8,N,2020-07-06,"37.019,-121.423"
53,67.178,-144.485,367.1,1.0,1.0,2020-07-06,2135,Terra,MODIS,100,6.0NRT,300.6,105.8,D,2020-07-06,"67.178,-144.485"
